Time, x, y, z
10.882,-0.605239,0.320247,-0.864991
11.143,-1.44522,0.75915,-2.04808
11.417,-2.74378,1.44088,-3.85553
11.684,-4.40489,2.31518,-6.16146
11.949,-6.44906,3.34258,-9.00047
12.203,-8.84879,4.65885,-12.1087
12.457,-11.806,5.87989,-15.6806
12.71,-15.1183,7.50222,-19.5219
12.961,-18.5301,9.59205,-23.6554
13.212,-21.9474,12.1525,-28.1623
13.468,-25.4167,15.0853,-33.2266
13.721,-28.7363,18.2427,-38.6827
13.974,-32.0582,21.7297,-44.7453
14.228,-35.5107,25.4487,-51.5433
14.489,-39.2648,29.2198,-59.2852
14.754,-43.2587,33.1579,-67.8696
15.251,-49.9647,42.1275,-85.9774
15.507,-53.0197,46.996,-95.7286
15.764,-55.6158,52.0294,-105.962
16.02,-57.6591,57.243,-116.421
16.28,-59.1783,62.7107,-127.253
16.541,-60.0605,68.4297,-138.338
16.794,-60.7641,74.2306,-149.475
17.05,-60.9549,80.3183,-161.145
17.304,-60.6777,86.6073,-172.887
17.568,-59.9378,93.4424,-185.104
17.826,-58.639,100.452,-197.177
18.081,-56.8207,107.699,-209.253
18.338,-54.4987,115.502,-221.72
18.593,-51.637,123.649,-234.11
18.851,-48.3583,132.392,-246.694
19.263,-41.6555,147.191,-266.642
19.534,-36.7386,157.056,-279.543
19.802,-31.4075,167.138,-292.153
20.067,-25.7883,177.705,-304.858
20.331,-19.8613,188.901,-317.873
20.599,-13.5367,201.083,-331.149
20.862,-7.08975,213.697,-344.371
21.128,-0.477465,227.025,-358.004
21.4,6.36057,241.192,-372.342
21.664,12.9677,255.593,-386.635
21.924,19.3614,270.312,-401.177
22.194,26.0047,286.101,-416.526
22.466,32.8766,302.394,-432.647
22.733,39.9703,318.973,-448.993
22.999,47.1491,336.184,-465.786
23.266,54.3897,353.953,-483.145
23.684,65.2539,382.296,-512.073
23.945,71.9625,400.183,-530.78
24.204,78.6524,418.225,-549.905
24.472,85.5281,437.221,-570.322
24.728,92.0488,455.908,-590.457
24.987,99.1666,475.325,-611.321
25.247,106.716,494.992,-632.509
25.505,114.739,514.567,-653.803
25.761,123.204,534.23,-675.214
26.02,132.318,554.277,-697.111
26.286,142.378,574.694,-719.734
26.542,152.426,593.814,-741.184
26.797,162.832,612.658,-762.815
27.059,174.072,631.716,-785.528
27.312,185.343,649.998,-807.873
27.568,197.253,668.4,-830.918
27.974,216.794,697.256,-868.13
28.232,229.652,715.291,-892.095
28.497,243.09,733.173,-916.83
28.757,255.995,749.774,-941.256
29.011,268.351,765.229,-966.275
29.264,279.359,780.452,-991.464
29.519,290.119,795.618,-1016.42
